Date,Month,Feature,EstimatedTime,RemainingTime,UsedTime,OngoingTime,HoursOnEstimatedTasks,HoursOnUnestimatedTasks,BugfixCoef,Subestimated,
2020-07-06 14:41:33 UTC,,reporte_asesores,127.0,0.0,238.25,0.0,147.92,90.33,61.06679286100596
2020-07-06 14:42:08 UTC,,ig_dm_challenge,102.08,96.0,20.0,11.5,20.0,0.0,0.0
2020-07-06 14:42:26 UTC,,ig_listening,197.0,68.0,164.83,0.0,155.83,9.0,5.775524610152089
2020-07-06 14:42:41 UTC,,sky_crm,700.0,24.0,917.42,0.5,884.42,33.0,3.731258904140567
2020-07-06 14:43:21 UTC,,ig_dm_challenge,108.08,0.0,135.58,0.0,135.58,0.0,0.0
2020-07-06 14:43:35 UTC,,ig_listening,211.0,48.0,183.92,0.0,168.17,15.75,9.365522982696081
2020-07-06 14:43:50 UTC,,sky_crm,823.0,62.0,1181.67,6.5,1010.67,171.0,16.919469262964174
2020-07-06 14:44:10 UTC,,troncalV1,96.0,0.0,307.68,0.0,176.6,131.08,74.22423556058891
2020-07-06 14:44:28 UTC,,gmb,54.0,54.0,34.37,6.0,23.2,11.17,48.146551724137936
2020-07-06 14:44:51 UTC,,gmb,352.0,94.0,442.65,96.83,399.48,43.17,10.806548513066987
2020-07-06 14:45:06 UTC,,ig_listening,226.0,38.0,241.98,0.0,184.25,57.73,31.332428765264588
2020-07-06 14:45:25 UTC,,sky_active_flights,53.0,0.0,75.25,0.0,58.25,17.0,29.184549356223176
2020-08-07 15:27:22 UTC,july,webchat_mejoras_v1,145.0,68.0,188.52,18.5,59.5,129.02,2.168403361344538,0
2020-08-07 15:27:46 UTC,july,google_my_business,471.5,0.0,630.45,0.0,559.82,70.63,0.1261655532135329,0.18731707317073182
2020-08-07 15:27:58 UTC,july,customer_visual,210.0,176.0,44.75,15.75,44.75,0.0,0.0,0
2020-09-14 12:59:09 UTC,august,customer_visual,610.0,200.0,472.17,65.25,461.17,11.0,0.023852375479758006,0
2020-09-14 19:41:54 UTC,agosto,customer_visual,610.0,200.0,472.17,65.25,461.17,11.0,0.023852375479758006,0
2020-09-14 19:42:36 UTC,agosto,customer_visual,610.0,200.0,472.17,65.25,461.17,11.0,0.023852375479758006,0
2020-09-14 19:52:03 UTC,agosto,customer_visual,610.0,200.0,472.17,65.25,461.17,11.0,0.023852375479758006,0
2020-11-09 17:38:52 UTC,10,customer_visual,945.0,0.0,1250.95,17.0,933.83,317.12,0.3395907177966011,0
2020-11-09 17:41:44 UTC,10,gmb_v2,233.0,8.0,258.25,2.0,217.25,41.0,0.18872266973532797,0
2020-11-09 17:51:49 UTC,10,customer_visual_v2,193.0,155.0,27.5,16.0,27.5,0,0,0
2020-12-10 14:40:58 UTC,11,customer_visual,969.0,0.0,1292.53,0.0,958.33,334.2,0.34873164776225307,-0.011011351909184685
2020-12-10 17:19:54 UTC,11,gmb_2,233.0,8.0,294.25,0.0,217.25,77.0,0.35443037974683544,-0.034444444444444444
2020-12-10 17:23:55 UTC,11,customer_visual_v2,448.0,8.0,662.35,34.0,374.58,287.77,0.7682471034224998,0
2020-12-10 17:26:35 UTC,11,webchat_v2,80.0,8.0,298.83,34.0,80.83,218.0,2.6970184337498453,0
